Department,GivenName,Manager,Name,OfficePhone,SamAccountName,sn,Title
Marketing,Christian,CN=Kelly Krout,Christian Jene,(206) 555-8834,christj,Jene,Marketing Specialist
Marketing,Felipe,CN=Kelly Krout,Felipe Martins,(206) 555-2312,felipem,Martins,Marketing Specialist
Marketing,John,CN=Kelly Krout,John Evans,(206) 555-8951,johnev,Evans,Marketing Specialist
Operations,Heinrich,CN=Arturo Lopez,Heinrich Fischer,(206) 555-3325,heinrif,Fischer,IT Manager
Sales,Kirk,CN=Jose Saraiva,Kirk Nason,(91) 555-8595,kirkj,Nason,Salesperson
Operations,Brian,CN=Keith Dishmo,Brian Cox,(206) 555-4515,brianc,Cox,Procurement Manager
Sales,Patricia,CN=Lene Aalling,Patricia Doyle,(312) 555-9181,patricd,Doyle,Salesperson
Sales,Ron,CN=April Stewart,Ron Gabel,(617) 555-2429,rong,Gabel,Salesperson
Sales,Shmuel,CN=David Simpson,Shmuel Yair,(404) 555-2693,shmuely,Yair,Salesperson
Marketing,Phyllis,CN=Kelly Krout,Phyllis Harris,(206) 555-1214,phyllih,Harris,Marketing Specialist
Sales,Jenny,CN=April Stewart,Jenny Lysaker,(860) 555-4516,jennyl,Lysaker,Salesperson
Marketing,Jordao,CN=Kelly Krout,Jordao Moreno,(206) 555-6811,jordaom,Moreno,Marketing Specialist
Sales,Josh,CN=Lene Aalling,Josh Edwards,(026) 555-8454,joshe,Edwards,Salesperson
Marketing,Chris,CN=Kelly Krout,Chris Johnson,(206) 555-9000,chrisj,Johnson,Marketing Specialist
Operations,Kris,CN=Arturo Lopez,Kris Johnsen,(206) 555-9001,krisj,Johnsen,IT Manager
Accounting,Chris,CN=Karim Manar,Chris Johnson [FINANCE],(206) 555-9002,chrisjoh,Johnson,Accountant
Engineering Operations,Chris,CN=Carol Troup,Chris F. Johnson,(206) 555-9003,chrisjohn,Johnson,Senior Engineer
Sales Engagement Management,Chris,CN=April Stewart,Chris Johnson [SALES],(206) 555-9004,chrisjohns,Johnson,Salesperson
